Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388
Asus,1.6369040970550783,32,1000,11.585085953845384,2.4900099442671717,32764.274431192793
Asus,2.8434890073448074,8,512,13.577575661456388,2.5797482457025045,16729.550875026107
Asus,3.7996390410319014,8,1000,12.853006544044046,2.151677563878617,31747.60460557713
Asus,2.367383004740569,32,256,11.710954152610404,2.8619801495267057,10605.76645913327
Asus,3.343753120274371,32,1000,16.769080033898508,2.839237903307213,32810.02391415497
Asus,3.78711475267025,16,256,12.89929799160722,3.6582871041007494,10233.785822237818
Asus,2.951470875695109,32,256,14.009092768878403,2.625765103223152,10781.539201207572
Asus,2.5365603093175593,16,512,12.485060438842472,2.376696735911754,17493.650157480613
Asus,1.7133741701966096,4,1000,11.976890298061182,2.513884873465011,31339.15974190479
Asus,3.992185629614868,32,512,12.121486643650767,4.482069664478437,18495.180974797404
Asus,2.7554875258281064,8,256,11.118773950083526,3.754515895066646,9140.170447550205
Asus,2.0247639827389645,4,1000,16.60996659103259,4.928098095800611,31650.730149513987
Asus,2.012849101205018,8,512,16.267906981909007,3.0119328624536825,16983.63602188368
Asus,2.680167362774998,16,256,13.13512855555527,2.333411441996037,10029.5817669081
Asus,2.6332220868700693,32,1000,11.432666557576612,2.4233227820640533,33008.898865411786
Asus,2.501907652188315,32,256,16.892297222095777,2.135883930839232,10566.171029177392
Asus,2.899100828270545,8,512,15.709170937753282,3.969157578154302,16702.35101114597
Asus,2.5218354277452413,32,256,16.64763468945111,2.3518404434013354,10859.96282331094
Asus,1.5634658891508622,32,512,16.488386689739023,2.5071853353191487,18310.41380623579
Asus,1.890381493415476,8,512,11.068883958496269,3.0554150192310576,16833.276091774973
Asus,3.4997902134329735,4,256,12.22664344369728,3.996095625256713,9454.453848798114
Asus,2.232869325652534,4,512,16.553133247111283,3.476696945547225,16746.84865578127
Asus,1.53250480877684,32,256,13.58224849814476,3.956279185644952,10462.141838886577
Asus,2.95760390242423,4,1000,14.849791452964126,2.1830214290161845,31533.20155491725
Asus,3.871133267405391,8,256,12.27851005210885,3.392200068213514,9829.331415396638
Asus,2.718577995623784,8,1000,14.751228617182656,3.9567060593973222,31416.859879837644
Asus,3.499638139868288,8,1000,11.302933666474448,3.951275746471593,32336.20253073521
Asus,3.083695549565368,16,512,16.63790906776105,4.990727655768066,17376.019528331424
Asus,3.96100545175888,16,1000,15.43644937898787,2.3791592672170014,32342.705862403756
Asus,1.7943777072253528,8,1000,16.340342152791514,4.332366401547157,31558.996663829737
Asus,2.941291188785634,8,256,11.505807887668102,4.018541400465635,9054.153840394143
Asus,2.185138051718015,4,512,15.843135912747128,4.172763582497399,16824.803277372925
Asus,2.8854450062894834,4,256,16.167917754890546,3.477797015665442,9162.53174614114
Asus,3.128550970879661,16,1000,15.903513868200928,3.9002352207263815,32252.67601295525
Asus,1.5274895716462011,8,1000,16.977573719149262,4.417936702602751,31521.46090508398
Asus,1.938428196558624,4,512,15.910217398888024,2.3824570404207384,16769.079792857636
Asus,2.1133727742033024,16,256,12.292066288295317,2.923659146048748,9801.241333636794
Asus,2.3891817911623727,8,512,13.233202350951316,3.7435862711628696,16757.01448914171
Asus,2.690126005497749,4,256,13.961005952926447,4.772861212383983,9084.371552686822
Asus,3.15917791340662,32,256,12.699828574549583,2.9774703823114543,10869.936265088454
Asus,3.427280509364554,16,512,13.00164073417426,3.3820094895004673,17629.77767355734
Asus,2.1160050830977672,8,1000,16.24233752109335,4.673600219190807,31428.704783432917
Asus,3.498539697422448,16,1000,16.00185880486375,2.968179718179915,32141.824638347352
Asus,1.7289551833165857,8,512,13.51633767000183,4.683213165945522,16724.505692735114
Asus,1.9628323220965491,4,1000,14.541395954905356,3.1521279151733013,31764.037664592754
Asus,3.5164028696536245,32,256,12.26017609709769,3.1696992388732417,10474.26099123632
Asus,3.146958416776793,32,256,12.686228488286169,3.4401421319302568,10622.17676840154
Asus,3.6229891289132983,8,256,11.068954839788692,2.2431158313951705,9303.954706859848
Asus,3.860148349216533,4,256,15.719134294345082,2.1974352820717296,9803.702788206429
Asus,1.5985670284212647,8,512,16.6551878451207,4.673954619080896,17025.47405293858
Asus,1.584864946464497,32,512,11.047786428472708,4.578669190753811,17880.004532059324
Asus,2.6855355416436595,8,1000,11.459814838851493,2.3586859932561692,31872.56841517933
Asus,2.297751183108139,4,512,12.296360697468598,4.412287008900778,16631.41956585275
Asus,3.5722886853766935,8,256,15.855946389711574,3.2778131254008183,9925.178427088164
Asus,1.801417214443197,32,256,12.628992525091206,4.02110520062647,10321.729413074818
Asus,2.296881257330175,4,256,16.306259282137827,2.8467874112387985,9385.939545131734
Asus,3.714944370590468,32,256,13.771060887650664,2.8335354896196963,11008.9067734798
Asus,1.561001953891345,8,1000,12.77565733315194,4.497251550230758,31160.043195600876
Asus,3.6752471847523247,8,1000,13.755135402395371,4.926419084942065,31821.65032497846
Asus,3.684192785465847,8,256,13.071379722019834,4.931095029635528,9664.037025023415
Asus,3.4206835346612956,32,256,15.394483188876013,2.407064953376838,10387.0530853186
Asus,3.343955753972229,8,1000,14.807835538924284,4.723206299532539,31848.655148446673
Asus,2.2180974791352046,32,1000,12.86601496839608,3.011908509402459,32437.38944266547
Asus,3.874902959875563,16,256,16.228810528259203,4.79192742905588,9968.179815116977
Asus,2.543951939462321,8,512,15.521567784474517,3.1100735724284476,16968.45371903162
Asus,2.6685037781246743,32,1000,14.280111530595732,2.953947654021005,32812.68702948411
Asus,2.0791792534586087,8,1000,15.17976362730434,3.400184281303851,31803.59381399587
Asus,3.856829435337814,8,1000,13.974222501391344,2.230168480558656,31773.80361638789
Asus,2.0766745292943964,32,256,14.07370854346091,2.3190118920446814,10558.374400119386
Asus,3.922756575352029,4,1000,14.66801961329988,3.841938368820182,31653.262947011815
Asus,3.819380707988032,4,256,15.039478636127187,3.3723291676096645,9576.799205329233
Asus,3.3085502842214622,16,1000,12.09033975936894,3.7783128226105545,31944.08429326199
Asus,2.050458004874528,8,1000,14.273511096014886,4.6363077493787435,31427.371791558653
Asus,1.6903271487257503,4,512,13.702871428823572,4.609813498693067,16748.036476845933
Asus,2.7378663175349356,32,256,16.9353065237465,3.843200022293971,10433.695261078468
Asus,2.9810194616487937,8,1000,16.655275638061433,2.9573704694613876,32379.03942150032
Asus,3.668235502399506,8,512,13.09966963717784,4.035473505951744,17166.348856397115
Asus,3.243678654173209,4,1000,15.98820623733182,2.9770544061918596,31654.48791516093
Asus,1.896512763232684,8,512,11.572229613638353,3.408555996036901,17278.83978351909
