perceptron_id,output
Dense_Embed_0,0.21014409
Dense_Embed_1,0.35338306
Dense_Embed_2,0.40352234
Dense_Embed_3,0.70206755
Dense_Embed_4,-0.33702162
Dense_Embed_5,-0.025220241
Dense_Embed_6,0.13090502
Dense_Embed_7,-0.26672712
Dense_Embed_8,-0.23156507
Dense_Embed_9,-0.052588727
Dense_Embed_10,0.4525492
Dense_Embed_11,0.071724035
Dense_Embed_12,-0.20966499
Dense_Embed_13,-0.2975537
Dense_Embed_14,-0.15651947
Dense_Embed_15,-0.07211259
Dense_Embed_16,0.04321864
Dense_Embed_17,0.14652075
Dense_Embed_18,-0.34521204
Dense_Embed_19,-0.090321705
Dense_Embed_20,-0.048338417
Dense_Embed_21,0.05532084
Dense_Embed_22,0.22160883
Dense_Embed_23,-0.1855481
Dense_Embed_24,-0.4440834
Dense_Embed_25,-0.19520092
Dense_Embed_26,0.6142182
Dense_Embed_27,0.6433163
Dense_Embed_28,-0.045916244
Dense_Embed_29,-0.9293573
Dense_Embed_30,-0.47888392
Dense_Embed_31,-0.5501154
Dense_Embed_32,0.052709788
Dense_Embed_33,0.25544882
Dense_Embed_34,-0.09895059
Dense_Embed_35,0.10592832
Dense_Embed_36,-0.27192998
Dense_Embed_37,-0.004946214
Dense_Embed_38,-0.024486884
Dense_Embed_39,-0.07910378
Dense_Embed_40,-0.21835077
Dense_Embed_41,0.4690869
Dense_Embed_42,0.106717765
Dense_Embed_43,-0.50849473
Dense_Embed_44,-0.1793313
Dense_Embed_45,-0.41948965
Dense_Embed_46,0.18550439
Dense_Embed_47,-0.11142592
Dense_Embed_48,0.11036156
Dense_Embed_49,0.5731168
Dense_Embed_50,-0.36374334
Dense_Embed_51,-0.634034
Dense_Embed_52,0.17991124
Dense_Embed_53,0.25219518
Dense_Embed_54,-0.019070476
Dense_Embed_55,0.21374798
Dense_Embed_56,-0.0015224776
Dense_Embed_57,-0.48338783
Dense_Embed_58,-0.46941826
Dense_Embed_59,-0.37068462
Dense_Embed_60,0.18070033
Dense_Embed_61,0.0069129434
Dense_Embed_62,0.13479927
Dense_Embed_63,-0.43079403
Output_0,0.0021566343
Output_1,0.0038666874
Output_2,0.0022677945
Output_3,0.0024484564
Output_4,0.0020328846
Output_5,0.00820471
Output_6,0.0007701569
Output_7,0.00086256774
Output_8,0.0032220087
Output_9,0.0010901627
Output_10,0.0014784749
Output_11,0.0024664002
Output_12,0.0026886642
Output_13,0.0011913988
Output_14,0.0023237548
Output_15,0.016307697
Output_16,0.0022762213
Output_17,0.0024617654
